x,y
1,3278.21
2,2779.50
3,3181.42
4,2960.12
5,3164.45
6,3110.91
7,2419.27
8,2445.40
9,3351.07
10,3238.84
11,2202.43
12,1959.96
13,2197.02
14,1990.64
15,2569.84
16,3384.36
17,3233.46
18,1902.20
19,2003.44
20,2169.23
21,3162.14
22,2949.63
23,2857.44
24,3279.49
25,3238.60
26,1921.79
27,2580.92
28,2503.94
29,792.48
30,3255.07
31,2013.57
32,2284.91
33,3271.03
34,3079.04
35,3221.01
36,2681.58
37,3001.42
38,3188.09
39,3314.16
40,2410.12
41,2610.24
42,2200.70
43,2169.14
44,3096.69
45,3014.96
46,3349.57
47,3269.32
48,2996.44
49,2078.02
50,3076.64
51,3001.95
52,3137.91
53,3305.90
54,3233.44
55,2037.84
56,3350.49
57,2883.15
58,2846.98
59,3389.26
60,2101.10
61,2311.51
62,3326.60
63,1978.49
64,2480.13
65,3220.64
66,3073.12
67,3248.33
68,2769.39
69,3165.54
70,3162.81
71,2945.35
72,3132.98
73,3133.35
74,3079.79
75,3324.23
76,1931.39
77,3230.59
78,2713.32
79,2717.58
80,2247.35
81,2975.69
82,2794.65
83,2665.13
84,3254.93
85,3045.59
86,2158.73
87,3231.60
88,3132.54
89,3079.71
90,3034.23
91,2592.61
92,2420.59
93,2227.40
94,3158.44
95,3228.33
96,3245.86
97,3306.31
98,2400.17
99,3265.32
100,3222.92
101,3177.81
102,3246.92
103,3091.31
104,2112.56
105,3246.11
106,2154.27
107,2790.59
108,2622.24
109,3350.65
110,2594.75
111,3214.13
112,3237.74
113,2219.64
114,3252.57
115,3072.20
116,2346.74
117,2118.27
118,3199.39
119,3046.03
120,3025.67
121,2598.24
122,2283.72
123,2640.62
124,2658.85
125,2400.08
126,3207.21
127,3295.51
128,3126.75
129,3323.53
130,3218.65
131,2422.25
132,3195.32
133,3047.56
134,2544.95
135,3354.67
136,2076.90
137,3237.45
138,3191.17
139,3069.62
140,1883.41
141,2499.24
142,1876.19
143,1968.38
144,2271.38
145,3192.16
146,3325.36
147,2730.35
148,3135.45
149,2399.73
150,3310.96
151,3274.26
152,3116.44
153,2053.68
154,3241.27
155,3348.52
156,2714.05
157,3285.05
158,1934.48
159,3138.59
160,3068.84
161,2447.23
162,2623.20
163,3135.52
164,3010.10
165,2197.25
166,2351.79
167,2474.80
168,2973.04
169,3243.32
170,2788.52
171,2123.61
172,2437.91
173,2545.31
174,3079.32
175,2750.27
176,2622.19
177,2014.36
178,2364.71
179,2233.56
180,3236.98
181,2916.05
182,3027.35
183,3040.87
184,3144.01
185,3206.45
186,2303.81
187,3172.69
188,2620.09
189,2518.83
190,3316.11
191,3101.41
192,2447.49
193,3178.08
194,3139.44
195,3149.63
196,2621.26
197,3153.27
198,2122.07
199,3140.51
200,2619.16
201,3369.97
202,2410.75
203,2806.25
204,2628.89
205,3209.72
206,3070.50
207,1891.44
208,3131.97
209,2815.69
210,3333.48
211,2382.96
212,2987.09
213,2242.86
214,3134.82
215,2008.73
216,3179.38
217,2539.89
218,2163.41
219,3168.67
220,3310.00
221,2312.38
222,3215.17
223,3076.40
224,2154.32
225,2952.72
226,3193.72
227,2364.40
228,3284.58
229,2098.55
230,3064.21
231,2297.01
232,3253.98
233,3152.56
234,3152.08
235,3264.71
236,3095.19
237,1997.62
238,3132.20
239,3118.18
240,2992.62
241,2471.11
242,3322.31
243,3095.66
244,3051.64
245,2134.07
246,3283.16
247,2123.50
248,3224.66
249,2449.98
250,3002.17
251,2520.15
252,3240.90
253,3288.20
254,2542.41
255,3009.14
256,2136.19
257,2312.35
258,3212.96
259,2606.25
260,2133.06
261,2228.27
262,2386.47
263,2435.92
264,2034.57
265,2208.91
266,2031.30
267,1926.14
268,3125.25
269,2725.76
270,3076.01
271,1950.44
272,2998.68
273,2104.04
274,2973.13
275,1916.16
276,2327.09
277,3148.14
278,3102.51
279,2299.41
280,3089.10
281,1989.34
282,3263.18
283,2071.43
284,3097.97
285,2959.48
286,3086.89
287,3339.51
288,2630.15
289,3299.51
290,3302.79
291,3361.02
292,3282.74
293,2327.57
294,3264.25
295,2971.95
296,3169.56
297,3158.73
298,2143.03
299,3266.81
300,3270.69
301,3157.90
302,2866.61
303,2936.85
304,3236.36
305,3172.14
306,2054.69
307,2732.47
308,2396.76
309,3198.89
310,3269.26
311,3115.44
312,3291.91
313,3251.19
314,3298.06
315,3307.60
316,3031.52
317,3276.81
318,3077.62
319,2720.65
320,2041.07
321,2894.61
322,2512.38
323,3148.77
324,2456.31
325,2494.87
326,2476.80
327,3292.91
328,2648.35
329,2688.22
330,3292.95
331,3325.43
332,2773.70
333,3321.14
334,2073.04
335,3055.03
336,3305.78
337,3221.36
338,2228.90
339,3254.75
340,3326.07
341,2404.67
342,2545.12
343,3079.53
344,2381.17
345,1939.95
346,3225.72
347,3244.62
348,2035.70
349,2799.88
350,3305.80
351,2651.13
352,3318.02
353,1816.58
354,3145.01
355,2235.41
356,3160.64
357,2220.15
358,2327.14
359,2566.02
360,2471.84
361,2367.79
362,2099.42
363,3197.28
364,2177.62
365,2402.70
366,3113.11
367,2519.67
368,3277.61
369,2068.51
370,2058.43
371,2938.93
372,3300.91
373,2257.20
374,3277.88
375,2802.02
376,2184.33
377,2259.03
378,2371.46
379,3255.21
380,3111.49
381,3190.79
382,3147.17
383,2623.07
384,2035.64
385,1891.26
386,3066.48
387,3144.95
388,1997.11
389,3202.62
390,2507.32
391,3303.18
392,2388.55
393,3150.74
394,3325.92
395,1946.81
396,3335.93
397,2212.35
398,3276.06
399,3271.30
400,2996.57
401,3287.18
402,2011.18
403,3038.28
404,2716.54
405,3179.49
406,3150.35
407,3139.42
408,3080.67
409,2555.99
410,1939.44
411,3252.41
412,2789.44
413,2172.16
414,3213.89
415,3121.82
416,2076.69
417,2095.35
418,3291.11
419,2968.15
420,1960.22
421,3242.39
422,3042.22
423,3323.99
424,2963.70
425,2334.79
426,3119.79
427,2617.87
428,2736.09
429,3153.34
430,3123.99
431,2861.57
432,3330.84
433,3309.91
434,3025.13
435,2414.56
436,2088.62
437,2906.33
438,3045.43
439,2039.79
440,3318.88
441,1984.39
442,3153.41
443,3027.78
444,1887.05
445,2617.42
446,2309.40
447,2626.77
448,3197.08
449,1937.92
450,3284.79
451,3044.59
452,2188.15
453,3031.87
454,2511.04
455,2620.20
456,1982.47
457,3084.29
458,2456.15
459,3148.23
460,2177.20
461,2182.26
462,3065.12
463,3334.04
464,2042.90
465,2476.14
466,2491.98
467,2190.82
468,3136.29
469,2456.57
470,3146.12
471,2590.46
472,2642.51
473,2224.37
474,2393.86
475,3282.34
476,3281.69
477,3377.83
478,2735.47
479,3053.26
480,3301.75
481,2317.26
482,2191.95
483,1894.84
484,2500.66
485,2776.42
486,2310.46
487,3180.77
488,2817.50
489,2662.86
490,3158.44
491,3117.79
492,3289.68
493,2043.38
494,2024.91
495,2655.70
496,3281.40
497,2738.52
498,2726.81
499,2980.45
500,2978.16
501,2006.82
502,1883.19
503,2007.54
504,3188.81
505,3172.66
506,3058.92
507,3066.41
508,2079.56
509,1847.27
510,3040.05
511,2999.13
512,3307.03
513,3168.25
514,3403.42
515,3204.64
516,3269.54
517,3163.93
518,2454.49
519,3287.09
520,3262.45
521,3330.65
522,3386.72
523,2186.22
524,1845.04
525,2992.37
526,3324.12
527,3250.57
528,3257.86
529,1958.25
530,3345.18
531,3253.08
532,2736.64
533,3000.11
534,3025.94
535,2660.22
536,2482.50
537,2666.21
538,2793.47
539,3145.96
540,1998.72
541,3378.56
542,2139.42
543,3347.15
544,3469.21
545,3028.56
546,1792.40
547,3250.74
548,3017.73
549,2991.05
550,2493.01
551,3093.52
552,2404.43
553,2735.30
554,3195.98
555,3038.02
556,3123.25
557,3108.32
558,2563.84
559,2974.70
560,3151.15
561,3298.69
562,2521.72
563,2029.11
564,3055.51
565,2609.15
566,3208.16
567,2570.90
568,3419.15
569,3334.43
570,3156.84
571,3206.22
572,2946.76
573,3036.48
574,2086.09
575,2430.13
576,3141.16
577,2027.67
578,3153.74
579,3002.77
580,3261.22
581,2582.66
582,3133.61
583,2844.92
584,2453.19
585,3285.53
586,3265.39
587,2819.93
588,2138.15
589,3102.55
590,3332.19
591,3273.60
592,1973.48
593,3255.14
594,2103.59
595,3316.33
596,3285.52
597,3316.17
598,3525.53
599,1935.99
600,2039.64
601,3183.56
602,2964.88
603,3385.63
604,2023.38
605,2234.17
606,1980.70
607,1971.29
608,2587.69
609,3258.27
610,1945.63
611,3149.07
612,3194.29
613,2644.85
614,3191.28
615,2785.93
616,2218.14
617,2143.09
618,1903.62
619,2902.47
620,3249.49
621,2061.35
622,3100.69
623,2071.23
624,2498.18
625,1956.74
626,2793.07
627,2160.69
628,2630.85
629,2941.37
630,2814.68
631,2496.24
632,3028.63
633,2070.85
634,2055.05
635,2997.98
636,2051.96
637,2200.04
638,2390.84
639,3154.09
640,2145.85
641,2784.01
642,2003.71
643,3137.16
644,2066.94
645,3046.53
646,2352.57
647,3131.28
648,3250.10
649,2495.76
650,3162.34
651,2202.17
652,3292.98
653,3104.73
654,3221.43
655,2574.15
656,3335.83
657,2819.63
658,3293.62
659,3257.54
660,3142.72
661,3275.48
662,2652.77
663,2737.59
664,2480.10
665,3315.32
666,3163.14
667,3196.15
668,2782.55
669,2207.69
670,1848.59
671,2211.11
672,3170.09
673,3320.81
674,2595.68
675,3288.26
676,3317.35
677,2790.92
678,2769.87
679,3194.98
680,2406.67
681,2530.53
682,2827.96
683,1997.67
684,2585.08
685,2762.09
686,3357.11
687,2423.57
688,3028.47
689,1899.64
690,3155.69
691,3351.68
692,2559.64
693,2830.61
694,3491.09
695,2221.67
696,3012.35
697,3274.53
698,2103.17
699,1982.84
700,3655.71
701,2107.44
702,2113.37
703,1998.95
704,2714.86
705,2311.07
706,2848.54
707,3049.20
708,3325.52
709,3321.47
710,2178.82
711,2587.08
712,2270.08
713,3356.73
714,2485.34
715,2117.72
716,2046.70
717,3013.84
718,2061.07
719,2942.28
720,3169.51
721,3157.14
722,1968.97
723,3288.51
724,1971.89
725,2906.73
726,2174.93
727,3129.01
728,3180.22
729,3189.56
730,3204.02
731,2630.35
732,2430.38
733,2570.71
734,3300.73
735,3182.52
736,2044.26
737,3100.13
738,3152.79
739,3283.36
740,3134.60
741,3208.58
742,1926.23
743,3299.29
744,3196.24
745,2275.80
746,3275.26
747,2582.23
748,2488.44
749,2273.90
750,3268.86
751,3228.30
752,3295.70
753,3301.18
754,3176.73
755,3294.46
756,3108.00
757,2752.04
758,3302.16
759,3167.34
760,1910.10
761,3308.89
762,3289.52
763,2676.86
764,3216.01
765,2530.24
766,2203.96
767,3303.06
768,2448.44
769,3383.55
770,2503.16
771,3290.42
772,3295.10
773,3032.71
774,2504.53
775,2575.44
776,3180.48
777,3298.94
778,3179.72
779,2738.75
780,3083.99
781,1994.71
782,2787.33
783,2972.05
784,2322.74
785,3095.83
786,2582.35
787,3186.71
788,2500.24
789,2171.65
790,3273.84
791,3128.41
792,3262.10
793,3061.72
794,3269.91
795,3181.64
796,2984.97
797,2011.17
798,3201.21
799,2036.41
800,2195.68
801,3195.60
802,2588.91
803,2096.19
804,1961.41
805,2624.05
806,3007.00
807,3003.31
808,3314.61
809,3126.72
810,2967.90
811,2611.89
812,2047.14
813,2146.20
814,2485.35
815,2076.86
816,2635.28
817,3187.94
818,3387.32
819,2422.28
820,3195.97
821,2790.59
822,2010.11
823,2690.31
824,2445.54
825,2575.32
826,3183.95
827,2653.23
828,2300.06
829,3019.91
830,3288.94
831,3239.69
832,1936.87
833,1821.16
834,1870.88
835,3230.14
836,2645.63
837,3122.87
838,2224.38
839,3133.25
840,3129.54
841,3079.70
842,2760.98
843,2033.04
844,2582.87
845,3284.58
846,3106.51
847,3178.63
848,3184.29
849,2441.66
850,2377.73
851,3148.18
852,1951.53
853,2760.81
854,2779.87
855,3123.94
856,3226.47
857,3280.55
858,3063.33
859,2047.86
860,2344.36
861,3327.44
862,3130.21
863,2469.91
864,3283.85
865,3321.11
866,2366.24
867,2737.32
868,2491.23
869,2228.99
870,3301.88
871,2808.17
872,3127.29
873,1971.72
874,2308.65
875,3277.35
876,3348.36
877,2945.86
878,2282.94
879,2699.87
880,3118.24
881,2645.75
882,2493.72
883,1969.12
884,2327.69
885,1894.72
886,2626.78
887,3296.97
888,2077.00
889,2120.21
890,3112.22
891,3109.63
892,3188.93
893,3211.59
894,3264.68
895,3298.14
896,3242.56
897,2066.74
898,3243.81
899,2156.07
900,3189.94
901,3128.63
902,3228.20
903,2996.34
904,2068.80
905,2958.80
906,3278.46
907,3230.61
908,2438.90
909,3215.68
910,2191.98
911,3229.68
912,3146.71
913,3272.92
914,3235.05
915,1968.17
916,2158.18
917,2837.61
918,2208.09
919,3187.85
920,2149.90
921,1851.98
922,2898.20
923,2577.09
924,3232.86
925,2182.59
926,2131.91
927,3210.24
928,2032.23
929,3258.06
930,2116.16
931,3053.30
932,3297.67
933,3076.21
934,2397.69
935,3200.75
936,3071.48
937,3322.30
938,3292.24
939,3120.44
940,2569.21
941,3336.61
942,2708.63
943,3316.13
944,3089.10
945,3336.92
946,3260.55
947,1897.84
948,2624.05
949,3288.97
950,2006.46
951,3272.82
952,3368.02
953,2612.98
954,3194.36
955,3204.22
956,3270.19
957,2628.49
958,2251.05
959,2066.37
960,3315.64
961,2707.72
962,3172.25
963,3266.31
964,2070.39
965,3185.04
966,2367.73
967,1956.42
968,3020.61
969,2207.53
970,3167.90
971,2357.40
972,3137.38
973,3100.91
974,3152.56
975,2591.94
976,2815.45
977,2266.79
978,3198.99
979,3028.65
980,3125.58
981,3170.96
982,2615.11
983,3017.81
984,2975.36
985,3110.13
986,2040.84
987,2716.20
988,2679.98
989,2188.95
990,3142.42
991,3166.78
992,1954.60
993,3182.74
994,3239.14
995,2632.08
996,2599.83
997,3248.60
998,2187.50
999,2274.89
1000,3108.91